,0
0,1.9202077238355973e-05
1,2.5479565601501938e-05
2,1.9397258365626705e-05
3,4.781544350061049e-05
4,2.3890759894328126e-05
5,1.690296856210673e-05
6,3.473681368048243e-05
7,1.7244492021929567e-05
8,0.0010699541217900016
9,7.61061171242364e-06
10,1.6557010518857728e-05
11,6.599178099530086e-06
12,3.7167504394060575e-06
13,4.495729074184548e-05
14,1.4401779828533191e-05
15,7.338990190786318e-05
16,3.335459877192373e-05
17,7.706731803818538e-06
18,0.0008539320156500642
19,8.422810472162666e-06
20,3.089591459161213e-05
21,1.8318916124269253e-05
22,9.48831389416488e-06
23,2.849484386903056e-05
24,1.0143433621112594e-05
25,0.0002544458255576013
26,1.1527269478009196e-05
27,0.000158322370091761
28,3.0285942625570455e-06
29,1.11431881173853e-05
30,1.675735762808711e-05
